y_trust2005,y_trust2006,y_trust2007,y_trust2008,x_age2005,x_age2006,x_age2007,x_age2008,x_male2005,x_male2006,x_male2007,x_male2008,d_threat2005,d_threat2006,d_threat2007,d_threat2008,x_education2005,x_education2006,x_education2007,x_education2008,x_income2005,x_income2006,x_income2007,x_income2008,idpers
8,4,4,4,40,41,42,43,1,1,1,1,0,0,0,1,8,8,8,8,3,3,3,3,1
0,5,5,0,37,38,39,40,0,0,0,0,1,1,1,1,1,1,1,1,0,NA,0,NA,2
4,0,0,0,14,15,16,17,1,1,1,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,3
NA,NA,7,1,12,13,14,15,1,1,1,1,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,NA,4
NA,NA,NA,NA,9,10,11,12,0,0,0,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,5
7,5,6,2,44,45,46,47,1,1,1,1,0,0,0,0,9,9,9,10,3,3,3,3,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
NA,NA,NA,NA,33,34,35,NA,1,1,1,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,11
8,7,8,NA,32,33,34,NA,0,0,0,NA,0,0,0,NA,4,4,4,NA,1,1,1,NA,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
NA,NA,5,3,NA,NA,85,86,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,17
NA,NA,NA,NA,NA,NA,82,83,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,18
8,5,7,8,37,38,39,40,0,0,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,19
3,2,4,2,37,38,39,40,1,1,1,1,1,0,0,1,4,4,4,4,2,3,2,3,20
NA,NA,NA,NA,10,11,12,13,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,21
NA,NA,NA,NA,10,11,12,13,1,1,1,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,22
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
NA,NA,5,7,NA,NA,81,82,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,25
7,7,6,7,40,41,42,43,0,0,0,0,0,0,0,0,5,5,5,5,3,2,2,3,26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
4,NA,NA,NA,86,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,29
NA,NA,6,5,41,42,43,44,1,1,1,1,NA,NA,0,0,9,9,9,9,NA,NA,3,3,30
5,7,6,5,37,38,39,40,0,0,0,0,1,0,0,0,10,10,10,10,NA,NA,NA,NA,31
NA,NA,NA,NA,9,10,11,12,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
NA,NA,NA,NA,6,7,8,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
3,3,4,4,32,33,34,35,1,1,1,1,0,0,0,0,7,7,7,7,2,2,3,3,34
6,3,5,NA,30,31,32,33,0,0,0,0,0,0,0,NA,4,4,4,4,0,NA,NA,NA,35
NA,NA,3,5,NA,NA,41,42,NA,NA,0,0,NA,NA,0,0,NA,NA,5,5,NA,NA,0,0,36
NA,NA,9,7,NA,NA,40,41,NA,NA,1,1,NA,NA,0,0,NA,NA,4,4,NA,NA,2,2,37
NA,NA,NA,NA,NA,NA,10,11,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,38
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
NA,7,8,8,NA,43,44,45,NA,1,1,1,NA,0,0,0,NA,10,10,10,NA,1,1,1,44
NA,5,5,5,NA,34,35,36,NA,0,0,0,NA,0,1,0,NA,10,10,10,NA,1,1,1,45
NA,7,10,9,56,57,58,59,1,1,1,1,NA,0,0,0,7,7,7,7,NA,3,3,2,46
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
5,5,5,8,21,22,23,24,1,1,1,1,0,0,0,0,4,4,4,4,0,NA,2,NA,50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
NA,8,5,NA,47,48,49,NA,1,1,1,NA,NA,0,0,NA,7,7,7,NA,NA,3,3,NA,55
NA,5,5,NA,46,47,48,NA,0,0,0,NA,NA,0,0,NA,5,5,5,NA,NA,1,0,NA,56
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
NA,NA,NA,0,41,NA,43,44,1,NA,1,1,NA,NA,NA,0,1,NA,1,7,NA,NA,NA,3,66
4,NA,4,5,35,NA,37,38,0,NA,0,0,0,NA,0,0,4,NA,4,4,NA,NA,NA,NA,67
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
NA,NA,NA,NA,8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,69
0,2,0,0,45,46,47,48,1,1,1,1,1,1,0,0,4,4,4,4,2,2,2,2,70
6,4,6,5,39,40,41,42,0,0,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,71
NA,6,5,5,19,20,21,22,0,0,0,0,NA,0,0,0,0,0,0,3,NA,0,0,0,72
NA,NA,5,10,12,13,14,15,0,0,0,0,NA,NA,0,1,0,0,1,1,NA,NA,NA,NA,73
NA,NA,NA,NA,7,8,9,10,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,74
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
8,7,NA,NA,42,43,NA,NA,1,1,NA,NA,0,0,NA,NA,4,4,NA,NA,NA,3,NA,NA,80
8,5,NA,NA,62,63,64,NA,1,1,1,NA,0,0,NA,NA,4,4,4,NA,2,2,NA,NA,81
8,NA,9,0,41,42,43,44,1,1,1,1,1,0,1,0,10,10,10,10,NA,0,NA,NA,82
8,6,9,6,71,72,73,74,1,1,1,1,0,0,0,0,7,7,7,7,NA,0,0,0,83
5,8,3,7,62,63,64,65,0,0,0,0,0,0,0,0,6,6,6,6,NA,0,NA,0,84
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
4,2,4,5,76,77,78,79,0,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,91
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99
8,8,8,8,82,83,84,85,0,0,0,0,0,0,0,0,6,6,6,6,NA,NA,NA,NA,100
8,8,5,5,77,78,79,80,1,1,1,1,0,0,1,0,9,9,9,9,NA,NA,NA,NA,101
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106
NA,NA,NA,NA,70,71,72,73,1,1,1,1,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,107
4,3,2,4,63,64,65,66,0,0,0,0,1,1,1,1,6,6,6,6,NA,NA,NA,NA,108
8,8,NA,NA,54,55,56,NA,0,0,0,NA,0,0,NA,NA,8,8,8,NA,0,0,NA,NA,109
8,8,9,8,47,48,49,50,1,1,1,1,0,0,0,0,7,7,7,7,3,3,3,3,110
10,10,9,8,45,46,47,48,0,0,0,0,0,0,0,0,10,10,10,10,1,1,1,1,111
10,9,10,9,21,22,23,24,0,0,0,0,0,0,0,0,6,6,6,10,0,NA,NA,0,112
8,6,8,8,19,20,21,22,0,0,0,0,0,0,0,0,3,6,6,6,0,0,NA,NA,113
4,5,5,3,16,17,18,19,1,1,1,1,1,1,1,1,0,0,0,0,NA,0,NA,0,114
NA,NA,NA,NA,40,41,42,43,1,1,1,1,NA,NA,0,NA,8,8,8,8,NA,NA,NA,NA,115
5,6,4,5,31,32,33,34,0,0,0,0,0,0,0,0,4,4,4,4,NA,0,0,NA,116
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
4,3,2,NA,54,55,56,NA,1,1,1,NA,0,1,0,NA,4,4,4,NA,0,1,NA,NA,119
NA,2,NA,7,59,60,NA,62,1,1,NA,1,NA,0,NA,0,4,4,NA,4,NA,2,NA,2,120
NA,NA,NA,10,59,60,NA,62,0,0,NA,0,NA,NA,NA,0,1,1,NA,1,NA,NA,NA,0,121
NA,NA,NA,5,NA,NA,41,42,NA,NA,1,1,NA,NA,0,0,NA,NA,10,10,NA,NA,NA,3,122
NA,NA,7,7,NA,NA,37,38,NA,NA,0,0,NA,NA,0,0,NA,NA,10,10,NA,NA,NA,2,123
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124
NA,NA,5,8,NA,NA,44,45,NA,NA,1,1,NA,NA,0,0,NA,NA,7,7,NA,NA,3,3,125
NA,NA,5,8,NA,NA,37,38,NA,NA,0,0,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,126
NA,NA,NA,NA,NA,NA,10,11,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,127
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
8,7,5,7,84,85,86,87,0,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,129
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132
4,NA,NA,NA,36,37,38,39,0,0,0,0,0,NA,NA,NA,4,4,4,4,1,NA,NA,NA,133
NA,NA,NA,NA,15,16,17,18,1,1,1,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,134
NA,NA,NA,NA,13,14,15,16,1,1,1,1,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,135
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140
4,7,6,7,51,52,53,54,1,1,1,1,0,0,0,0,6,6,6,6,NA,NA,NA,NA,141
0,2,2,3,48,49,50,51,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,NA,NA,142
5,NA,0,0,17,18,19,20,1,1,1,1,1,NA,1,1,0,0,0,0,NA,NA,0,NA,143
NA,2,NA,NA,17,18,NA,NA,1,1,NA,NA,NA,0,NA,NA,1,4,NA,NA,NA,1,NA,NA,144
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146
NA,NA,NA,NA,64,65,66,67,1,1,1,1,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,147
10,5,8,8,65,66,67,68,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,NA,NA,148
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
5,5,5,5,41,42,43,44,0,0,0,0,0,0,0,0,10,10,10,10,1,2,1,1,152
8,8,7,7,41,42,43,44,1,1,1,1,0,0,0,0,10,10,10,10,3,3,3,3,153
NA,NA,NA,NA,9,10,11,12,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,154
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160
7,8,10,8,40,41,42,43,1,1,1,1,0,0,0,0,5,5,5,5,1,1,1,3,161
6,7,6,7,41,42,43,44,1,1,1,1,0,0,0,0,10,10,10,10,3,3,3,3,162
3,5,5,6,40,41,42,43,0,0,0,0,0,0,0,0,10,10,10,10,NA,NA,NA,NA,163
NA,NA,NA,7,11,12,13,14,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,164
NA,NA,NA,NA,10,11,12,13,1,1,1,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,165
5,3,5,3,46,47,48,49,1,1,1,1,1,0,0,1,4,4,4,4,NA,0,0,0,166
4,4,3,2,41,42,43,44,0,0,0,0,0,1,0,1,4,4,4,4,NA,NA,NA,NA,167
3,1,0,2,17,18,19,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,168
5,5,5,5,14,15,16,17,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,169
NA,NA,7,7,NA,NA,44,45,NA,NA,0,0,NA,NA,0,1,NA,NA,7,7,NA,NA,3,3,170
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171
6,7,6,6,26,27,28,29,0,0,0,0,0,0,0,0,10,10,10,10,2,2,2,2,172
8,NA,NA,NA,50,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,7,NA,NA,NA,3,NA,NA,NA,173
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180
2,5,0,3,28,29,30,31,0,0,0,0,0,0,1,0,4,4,4,4,2,3,2,2,181
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182
6,6,4,4,32,33,34,35,1,1,1,1,0,0,0,0,10,10,10,10,3,3,3,3,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184
NA,NA,5,7,NA,NA,65,66,NA,NA,0,0,NA,NA,0,0,NA,NA,10,10,NA,NA,0,0,185
5,6,7,7,57,58,59,60,1,1,1,1,0,0,0,0,4,4,4,4,2,3,3,3,186
5,5,5,6,56,57,58,59,0,0,0,0,0,0,1,1,4,4,4,4,3,3,3,3,187
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198
7,7,7,7,56,57,58,59,0,0,0,0,0,0,0,0,5,5,5,5,NA,NA,NA,NA,199
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204
NA,3,0,3,68,69,70,71,0,0,0,0,NA,0,0,0,1,1,1,1,NA,NA,NA,NA,205
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206
NA,NA,NA,NA,36,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,207
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208
6,5,5,5,58,59,60,61,1,1,1,1,0,0,0,0,10,10,10,10,NA,0,NA,3,209
7,7,7,8,45,46,47,48,0,0,0,0,0,0,0,0,10,10,10,10,2,2,3,2,210
